Rank,Document,Score
1,Conan Gray_Holidays_v1.txt,0.6499665552020102
2,Zimmer90_What Love Is_v1.txt,0.41728643964939016
3,Mia Rodriguez_Psycho_v1.txt,0.4097463430046665
4,Melody Federer_I Hate Love_v1.txt,0.35860250985600856
5,Whitney Houston_I Will Always Love You_v1.txt,0.3114599159945306
6,girl in red_I'm Back_v1.txt,0.30498982618389286
7,Billie Eilish_Bored_v1.txt,0.27749748603899066
8,Katy Perry_Hot N Cold_v1.txt,0.2751410571283133
9,King Princess_1950_v1.txt,0.2723485194497133
10,girl in red_Phantom Pain_v1.txt,0.271120891586384
